episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
259;1;null;19.020;4.980;0.920;13.120
260;1;null;20.520;4.420;8.040;8.060
261;1;null;20.120;11.120;1.920;7.080
262;0;Timer;32.301;2.300;4.960;25.040
263;1;null;22.280;5.000;0.720;16.560
264;1;null;23.160;14.520;3.320;5.320
265;1;null;18.720;9.220;2.800;6.700
266;1;null;32.441;7.040;7.700;17.700
267;1;null;31.081;8.180;16.000;6.900
268;0;Timer;31.401;1.400;1.500;28.500
269;1;null;36.521;7.960;22.840;5.720
270;1;null;11.920;4.500;2.480;4.940
271;1;null;6.680;3.260;0.620;2.800
272;0;Timer;36.541;6.540;0.860;29.140
273;1;null;15.420;4.100;5.420;5.900
274;1;null;18.560;3.660;2.840;12.060
275;1;null;18.360;4.220;8.020;6.120
276;1;null;13.520;6.020;2.060;5.440
277;1;null;12.260;9.180;0.440;2.640
278;0;Timer;37.261;7.260;4.960;25.040
279;1;null;16.140;5.780;8.360;2.000
280;0;DragonEscaped;11.140;11.140;0.000;0.000
281;0;Timer;33.541;3.520;1.460;28.560
282;1;null;11.080;3.040;0.900;7.140
283;0;DragonEscaped;13.800;13.800;0.000;0.000
284;0;Timer;32.141;2.140;1.740;28.260
285;1;null;10.640;4.140;2.500;4.000
286;0;Timer;36.981;6.980;7.820;22.180
287;0;DragonEscaped;14.140;14.140;0.000;0.000
288;1;null;10.740;4.180;1.600;4.960
289;0;Timer;35.821;5.820;13.840;16.160
290;1;null;16.100;7.360;1.620;7.120
291;0;DragonEscaped;13.880;13.880;0.000;0.000
292;1;null;17.940;7.800;2.900;7.240
293;1;null;17.560;7.520;1.800;8.240
294;1;null;15.540;10.680;1.480;3.380
295;1;null;28.700;2.780;22.000;3.920
296;1;null;19.120;10.480;2.740;5.900
297;1;null;11.200;6.660;2.760;1.780
298;1;null;11.600;2.520;1.680;7.400
299;0;DragonEscaped;9.040;9.040;0.000;0.000
300;1;null;10.980;6.400;1.300;3.280
