episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
54;Extrovert;0;0;0;-1;8;20.506;1.258;2.342;6.982;1.38;9.02
54;Introvert;2;0;1;2.639;2;34.888;3;3.093;6.235;0.3;2.86
54;NonConscientious;2;1;0;-1;5;21.208;0.642;2.246;6.627;0.4;7.08
54;Neurotic;2;1;0;-1;11;16.442;0.437;2.318;7.53;0.6;9.28
55;Extrovert;0;0;0;-1;11;12.683;1.069;2.509;8.381;4.58;10.22
55;Introvert;2;1;1;4.56;5;37.898;2.605;3.1;7.198;0.62;4.86
55;NonConscientious;4;1;0;-1;5;29.467;1.14;3.066;4.504;1.42;6.18
55;Neurotic;0;0;0;-1;11;12.876;1.617;2.604;7.768;1.42;10.78
56;Extrovert;0;0;0;-1;13;21.688;0.706;2.266;7.978;2.72;11.82
56;Introvert;2;0;1;6.581;6;37.084;3;2.225;5.057;0.22;9.5
56;NonConscientious;4;2;0;-1;15;21.929;2.063;1.612;4.529;1.12;17.5
56;Neurotic;0;0;0;-1;10;18.59;0.324;1.839;4.627;0.72;10.4
57;Extrovert;0;0;0;-1;2;16.16;0.347;3.03;4.468;3.36;3.14
57;Introvert;5;1;1;7.24;2;27.744;0.149;2.905;4.085;0.02;3.98
57;NonConscientious;1;1;0;-1;2;25.079;1.358;2.729;7.687;0.62;4.24
57;Neurotic;0;0;0;-1;0;14.475;1.189;3.303;8.285;1.7;0.26
58;Extrovert;0;0;0;-1;8;21.591;0.471;2.558;5.257;2.34;9.42
58;Introvert;6;2;1;5.299;2;31.471;3;3.41;5.389;0.1;4.04
58;NonConscientious;0;0;0;-1;3;25.864;0.899;2.681;5.836;0.82;6.4
58;Neurotic;0;0;0;-1;7;16.745;0.506;2.838;4.819;0.52;8.58
59;Extrovert;0;0;0;-1;0;13.553;0.077;4.907;9.424;1.24;0
59;Introvert;3;1;1;4.239;0;20.822;3;3.968;4.072;0.12;0.18
59;NonConscientious;3;1;0;-1;1;17.486;1.181;3.566;3.86;0.42;0.58
59;Neurotic;0;0;0;-1;1;9.714;0.554;4.451;9.891;0.16;0.4
60;Extrovert;1;0;0;-1;0;15.568;0.003;3.933;4.716;2.52;1.3
