episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
63;Intro_Iso;0;0;0;-1.000;0;23.083;3.000;4.325;9.983;1.420;0.660
64;Intro_Leader;2;1;1;2.398;3;25.840;1.231;3.080;4.834;0.420;2.940
64;Intro_Balanced1;1;1;0;-1.000;1;14.452;1.176;3.164;5.183;0.520;0.860
64;Intro_Balanced2;0;0;0;-1.000;1;17.726;0.400;3.107;6.128;0.220;0.860
64;Intro_Iso;3;0;0;-1.000;3;19.441;1.682;3.338;4.408;0.620;2.940
65;Intro_Leader;1;0;1;1.460;2;18.692;2.599;2.818;5.351;0.420;1.660
65;Intro_Balanced1;2;1;0;-1.000;0;18.485;0.382;2.626;5.019;0.720;2.240
65;Intro_Balanced2;1;1;0;-1.000;2;15.950;1.377;2.943;8.483;0.320;1.340
65;Intro_Iso;2;0;0;-1.000;0;10.823;3.000;2.890;4.323;0.620;1.920
66;Intro_Leader;3;2;0;-1.000;4;17.388;2.599;3.320;7.178;0.340;2.600
66;Intro_Balanced1;0;0;0;-1.000;0;17.542;2.296;5.911;11.036;0.520;0.000
66;Intro_Balanced2;3;0;1;1.420;3;16.394;2.195;4.036;6.078;0.120;1.640
66;Intro_Iso;0;0;0;-1.000;1;11.057;1.923;3.651;8.569;0.220;1.040
67;Intro_Leader;2;0;0;-1.000;1;54.962;0.925;4.258;8.631;1.640;2.360
67;Intro_Balanced1;0;0;1;1.160;1;30.249;3.000;4.666;11.569;1.820;1.920
67;Intro_Balanced2;3;1;0;-1.000;1;30.181;1.649;4.471;6.342;1.120;3.860
67;Intro_Iso;1;1;0;-1.000;1;29.781;0.692;4.930;7.089;1.520;4.300
68;Intro_Leader;6;2;0;-1.000;0;34.323;1.426;4.074;4.079;0.500;1.280
68;Intro_Balanced1;0;0;0;-1.000;1;21.354;0.141;4.603;11.574;0.520;1.460
68;Intro_Balanced2;0;0;0;-1.000;1;24.158;0.262;3.658;7.873;0.620;2.600
68;Intro_Iso;0;0;1;1.002;0;29.165;1.046;3.945;8.988;1.120;1.460
69;Intro_Leader;1;0;0;-1.000;5;22.180;2.599;3.773;5.525;0.100;5.780
69;Intro_Balanced1;1;1;0;-1.000;2;22.655;1.260;3.725;6.291;0.900;2.780
69;Intro_Balanced2;0;0;0;-1.000;0;17.990;1.129;4.554;9.611;0.700;0.000
69;Intro_Iso;4;1;1;1.120;3;21.868;3.000;3.630;5.899;0.300;4.260
70;Intro_Leader;2;1;0;-1.000;3;68.113;2.599;3.428;5.372;2.240;6.860
70;Intro_Balanced1;1;0;1;0.700;2;25.267;3.000;3.433;5.832;0.400;4.360
70;Intro_Balanced2;3;1;0;-1.000;1;29.869;0.589;4.407;7.501;1.800;2.500
70;Intro_Iso;0;0;0;-1.000;0;32.129;0.454;4.487;6.155;1.000;0.000
71;Intro_Leader;3;1;0;-1.000;5;31.290;2.599;3.584;4.540;0.240;5.080
71;Intro_Balanced1;3;1;0;-1.000;3;23.351;0.018;4.850;6.567;0.860;1.160
71;Intro_Balanced2;0;0;0;-1.000;1;23.249;0.016;3.636;9.330;0.860;5.760
71;Intro_Iso;0;0;1;0.680;1;33.096;2.508;3.921;11.336;0.520;2.920
