episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape;
495;1;null;14.240;9.000;2.100;3.140
496;0;Timer;34.201;4.180;23.860;6.160
497;0;Timer;34.741;4.720;6.900;23.120
498;1;null;20.740;7.140;3.520;10.080
499;1;null;14.380;4.360;5.500;4.520
500;1;null;9.160;3.260;1.900;4.000
501;1;null;15.940;4.440;5.180;6.320
502;1;null;7.280;3.320;1.380;2.580
503;0;DragonEscaped;10.040;10.040;0.000;0.000
504;1;null;13.340;5.440;6.360;1.540
505;1;null;14.680;7.620;6.480;0.580
506;1;null;11.940;8.060;1.160;2.720
507;1;null;11.480;3.060;4.900;3.520
508;1;null;10.840;6.380;0.680;3.780
509;1;null;9.840;5.000;0.920;3.920
510;1;null;11.100;4.860;1.300;4.940
511;0;Timer;35.441;5.400;30.041;0.000
512;1;null;16.020;6.140;4.280;5.600
513;1;null;10.720;5.180;1.680;3.860
514;1;null;17.360;5.720;6.300;5.340
515;1;null;21.480;6.320;11.300;3.860
516;1;null;18.280;5.340;6.860;6.080
517;1;null;15.520;1.560;5.160;8.800
518;1;null;15.480;6.280;5.020;4.180
519;1;null;16.460;6.200;5.100;5.160
520;1;null;14.600;7.160;3.560;3.880
521;1;null;10.380;4.880;0.980;4.520
522;1;null;13.340;3.260;6.560;3.520
523;1;null;24.160;8.160;13.420;2.580
524;0;Timer;35.801;5.780;8.920;21.100
525;1;null;11.000;5.140;2.660;3.200
526;1;null;11.960;2.720;2.940;6.300
527;1;null;18.180;4.180;9.640;4.360
528;1;null;16.940;7.000;5.920;4.020
529;1;null;12.860;1.340;4.640;6.880
530;1;null;6.400;3.240;1.700;1.460
531;1;null;13.860;7.540;2.340;3.980
532;1;null;12.440;5.080;1.820;5.540
533;1;null;9.700;3.440;2.680;3.580
534;1;null;9.620;3.160;2.680;3.780
535;1;null;10.080;2.260;2.720;5.100
536;1;null;13.800;2.460;7.340;4.000
537;1;null;10.700;4.740;2.320;3.640
538;1;null;10.720;7.340;0.660;2.720
539;1;null;9.600;5.500;1.240;2.860
540;1;null;9.940;2.800;3.020;4.120
541;1;null;13.060;4.960;3.200;4.900
542;1;null;23.520;3.580;11.860;8.080
543;1;null;15.360;5.340;5.760;4.260
544;1;null;13.080;4.840;4.240;4.000
545;1;null;17.380;4.920;8.660;3.800
546;1;null;13.020;5.520;3.420;4.080
547;1;null;10.440;3.060;1.880;5.500
548;1;null;25.440;5.100;13.800;6.540
549;1;null;6.580;3.140;1.480;1.960
550;1;null;6.660;2.360;2.740;1.560
551;1;null;16.580;10.040;1.360;5.180
552;1;null;34.641;5.600;24.760;4.280
553;1;null;11.700;4.960;0.920;5.820
554;1;null;16.800;8.320;1.060;7.420
555;1;null;26.480;4.280;16.160;6.040
556;1;null;6.980;3.280;1.620;2.080
557;1;null;21.140;7.700;9.640;3.800
