episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
35;Intro_Iso;2;1;1;2.280;3;23.206;2.070;3.397;8.085;0.500;2.640
35;NonConscientious;4;1;0;-1.000;2;14.475;1.501;3.179;3.652;0.600;2.860
35;Neurotic;0;0;0;-1.000;3;14.882;0.181;3.388;5.855;1.200;1.760
36;Extrovert;1;0;0;-1.000;10;26.849;0.032;3.285;3.151;10.880;16.000
36;Intro_Iso;2;0;0;-1.000;3;24.768;0.478;4.031;8.179;2.820;5.360
36;NonConscientious;3;2;0;-1.000;5;48.767;0.486;3.073;6.265;1.220;13.020
36;Neurotic;0;0;0;-1.000;6;22.943;0.848;3.315;4.345;2.220;10.660
37;Extrovert;2;1;0;-1.000;1;13.974;0.823;2.693;5.203;3.180;5.920
37;Intro_Iso;0;0;0;-1.000;0;11.593;1.952;2.394;8.991;0.620;3.440
37;NonConscientious;1;0;0;-1.000;1;14.664;1.729;2.424;8.970;0.220;5.920
37;Neurotic;0;0;0;-1.000;0;9.176;0.136;2.591;8.730;0.920;3.440
38;Extrovert;0;0;0;-1.000;12;37.216;0.418;2.391;6.736;7.060;17.040
38;Intro_Iso;4;2;1;9.100;13;52.887;0.685;2.831;7.912;1.120;19.700
38;NonConscientious;2;0;0;-1.000;18;46.549;1.491;2.126;6.887;1.020;21.240
38;Neurotic;0;0;0;-1.000;15;20.522;0.000;2.499;6.444;4.400;24.840
39;Extrovert;0;0;0;-1.000;0;14.568;1.453;3.709;7.262;2.120;0.000
39;Intro_Iso;0;0;0;-1.000;0;13.695;3.000;3.912;6.601;0.120;0.000
39;NonConscientious;2;0;0;-1.000;1;19.266;1.679;2.635;8.332;0.320;4.020
39;Neurotic;0;0;0;-1.000;1;14.608;0.114;2.743;7.857;0.420;4.020
40;Extrovert;1;1;0;-1.000;1;22.565;2.512;4.228;7.174;2.180;1.780
40;Intro_Iso;0;0;0;-1.000;4;17.435;1.223;4.186;9.792;0.720;5.680
40;NonConscientious;3;0;0;-1.000;1;24.199;0.490;4.073;7.662;0.520;1.580
40;Neurotic;0;0;0;-1.000;4;15.936;0.383;3.699;7.050;0.120;5.480
41;Extrovert;0;0;0;-1.000;6;38.103;0.044;2.519;8.709;8.300;17.300
41;Intro_Iso;0;0;1;10.520;11;35.858;1.366;2.342;11.712;2.620;21.640
41;NonConscientious;6;2;0;-1.000;7;46.819;0.526;2.588;6.662;2.020;16.440
41;Neurotic;0;0;0;-1.000;12;25.584;1.086;2.287;11.701;2.620;22.080
42;Extrovert;0;0;0;-1.000;15;36.049;1.294;2.851;7.417;5.700;26.880
42;Intro_Iso;3;1;1;17.302;9;36.418;0.122;3.240;5.733;1.900;17.500
42;NonConscientious;3;1;0;-1.000;10;44.885;2.470;2.668;6.525;1.000;18.120
42;Neurotic;0;0;0;-1.000;6;24.732;0.374;3.359;8.319;4.300;14.860
43;Extrovert;0;0;0;-1.000;9;30.861;0.292;2.635;3.859;9.680;21.860
43;Intro_Iso;2;1;0;-1.000;4;30.187;2.648;3.002;6.131;5.520;9.220
43;NonConscientious;4;1;0;-1.000;4;39.120;0.815;2.679;2.888;1.720;12.080
43;Neurotic;0;0;0;-1.000;1;23.639;1.417;3.177;6.286;4.020;4.960
44;Extrovert;0;0;0;-1.000;19;31.018;0.003;2.471;7.486;5.960;20.440
44;Intro_Iso;0;0;1;10.242;9;40.520;3.000;2.911;8.218;1.920;15.920
44;NonConscientious;6;2;0;-1.000;6;47.919;1.220;2.992;4.624;0.920;11.460
44;Neurotic;0;0;0;-1.000;22;29.066;0.741;2.828;6.544;1.720;19.800
45;Extrovert;0;0;0;-1.000;0;18.317;0.002;4.446;8.026;1.880;0.000
45;Intro_Iso;0;0;0;-1.000;0;21.044;1.694;3.987;9.367;0.520;0.140
45;NonConscientious;1;0;0;-1.000;3;19.759;0.787;3.063;4.414;0.620;5.220
45;Neurotic;1;0;0;-1.000;3;14.564;0.096;2.658;4.870;0.720;5.360
46;Extrovert;0;0;0;-1.000;3;26.711;0.000;3.905;5.378;3.580;7.700
46;Intro_Iso;0;0;1;3.200;0;31.623;3.000;4.507;9.426;1.300;3.420
46;NonConscientious;5;2;0;-1.000;4;33.961;1.221;3.391;7.050;1.000;12.700
46;Neurotic;1;0;0;-1.000;5;17.138;1.121;3.599;5.568;0.900;8.200
47;Extrovert;0;0;0;-1.000;6;31.441;0.331;2.966;8.514;7.800;23.220
47;Intro_Iso;0;0;0;-1.000;4;16.442;0.210;3.193;9.551;4.920;21.000
47;NonConscientious;6;2;0;-1.000;0;47.175;0.278;4.489;4.987;0.920;0.900
47;Neurotic;0;0;0;-1.000;2;18.139;0.075;3.139;5.686;4.640;3.160
48;Extrovert;0;0;0;-1.000;3;11.328;1.378;2.374;6.400;1.500;6.880
48;Intro_Iso;0;0;0;-1.000;0;15.594;0.307;3.430;8.904;0.400;0.820
48;NonConscientious;3;1;0;-1.000;3;18.655;0.752;2.368;5.712;0.020;7.200
48;Neurotic;2;0;0;-1.000;0;12.873;2.001;3.442;5.000;0.320;0.760
49;Extrovert;0;0;0;-1.000;11;21.946;0.476;2.440;8.098;3.620;15.140
49;Intro_Iso;5;2;1;10.241;1;24.728;2.348;4.318;2.826;0.120;0.920
49;NonConscientious;1;0;0;-1.000;8;26.823;0.005;2.618;6.908;0.840;8.660
49;Neurotic;0;0;0;-1.000;8;17.533;0.536;2.764;9.492;1.420;11.080
50;Extrovert;3;1;0;-1.000;17;31.328;0.186;2.152;4.652;6.940;21.360
50;Intro_Iso;1;0;1;14.382;9;35.432;0.506;3.117;4.974;1.820;11.000
50;NonConscientious;2;1;0;-1.000;15;36.444;1.375;2.209;4.972;1.420;14.700
50;Neurotic;0;0;0;-1.000;13;28.491;0.461;2.252;6.311;2.220;20.720
51;Extrovert;0;0;0;-1.000;14;37.142;0.053;2.175;8.006;7.640;29.120
51;Intro_Iso;3;1;1;16.096;4;40.239;1.371;2.434;7.005;1.920;18.700
